item;geo;year;value
AGEMOTH;AL;2008;27.7
AGEMOTH;AL;2007;27.5
AGEMOTH;AL;2006;27.5
AGEMOTH;AL;2005;27.4
AGEMOTH;AL;2004;27.3
AGEMOTH;AL;2003;27.9
AGEMOTH;AL;2002;28.0
AGEMOTH;AL;2001;NA
AGEMOTH;AL;2000;NA
AGEMOTH;AL;1999;NA
AGEMOTH;AL;1998;NA
AGEMOTH;AL;1997;NA
AGEMOTH;AL;1996;NA
AGEMOTH;AL;1995;NA
AGEMOTH;AL;1994;NA
AGEMOTH;AL;1993;NA
AGEMOTH;AL;1992;NA
AGEMOTH;AL;1991;NA
AGEMOTH;AL;1990;NA
AGEMOTH;AL;1989;NA
AGEMOTH;AL;1988;NA
AGEMOTH;AL;1987;NA
AGEMOTH;AL;1986;NA
AGEMOTH;AL;1985;NA
AGEMOTH;AL;1984;NA
AGEMOTH;AL;1983;NA
AGEMOTH;AL;1982;NA
AGEMOTH;AL;1981;NA
AGEMOTH;AL;1980;NA
AGEMOTH;AL;1979;NA
AGEMOTH;AL;1978;NA
AGEMOTH;AL;1977;NA
AGEMOTH;AL;1976;NA
AGEMOTH;AL;1975;NA
AGEMOTH;AL;1974;NA
AGEMOTH;AL;1973;NA
AGEMOTH;AL;1972;NA
AGEMOTH;AL;1971;NA
AGEMOTH;AL;1970;NA
AGEMOTH;AL;1969;NA
AGEMOTH;AL;1968;NA
AGEMOTH;AL;1967;NA
AGEMOTH;AL;1966;NA
AGEMOTH;AL;1965;NA
AGEMOTH;AL;1964;NA
AGEMOTH;AL;1963;NA
AGEMOTH;AL;1962;NA
AGEMOTH;AL;1961;NA
AGEMOTH;AL;1960;NA
AGEMOTH;AM;2018;27.1
AGEMOTH;AM;2017;27.0
AGEMOTH;AM;2016;27.0
AGEMOTH;AM;2015;26.8
AGEMOTH;AM;2014;NA
AGEMOTH;AM;2013;NA
AGEMOTH;AM;2012;NA
AGEMOTH;AM;2011;NA
AGEMOTH;AM;2010;NA
AGEMOTH;AM;2009;26.0
AGEMOTH;AM;2008;25.8
AGEMOTH;AM;2007;25.6
AGEMOTH;AM;2006;25.5
AGEMOTH;AM;2005;NA
AGEMOTH;AM;2004;NA
AGEMOTH;AM;2003;NA
AGEMOTH;AM;2002;NA
AGEMOTH;AM;2001;NA
AGEMOTH;AM;2000;NA
AGEMOTH;AM;1999;NA
AGEMOTH;AM;1998;NA
AGEMOTH;AM;1997;NA
AGEMOTH;AM;1996;NA
AGEMOTH;AM;1995;NA
AGEMOTH;AM;1994;NA
AGEMOTH;AM;1993;NA
AGEMOTH;AM;1992;NA
AGEMOTH;AM;1991;NA
AGEMOTH;AM;1990;NA
AGEMOTH;AM;1989;NA
AGEMOTH;AM;1988;NA
AGEMOTH;AM;1987;NA
AGEMOTH;AM;1986;NA
AGEMOTH;AM;1985;NA
AGEMOTH;AM;1984;NA
AGEMOTH;AM;1983;NA
AGEMOTH;AM;1982;NA
AGEMOTH;AM;1981;NA
AGEMOTH;AM;1980;NA
AGEMOTH;AM;1979;NA
AGEMOTH;AM;1978;NA
AGEMOTH;AM;1977;NA
AGEMOTH;AM;1976;NA
AGEMOTH;AM;1975;NA
AGEMOTH;AM;1974;NA
AGEMOTH;AM;1973;NA
AGEMOTH;AM;1972;NA
AGEMOTH;AM;1971;NA
AGEMOTH;AM;1970;NA
AGEMOTH;AM;1969;NA
AGEMOTH;AM;1968;NA
AGEMOTH;AM;1967;NA
AGEMOTH;AM;1966;NA
AGEMOTH;AM;1965;NA
AGEMOTH;AM;1964;NA
AGEMOTH;AM;1963;NA
AGEMOTH;AM;1962;NA
AGEMOTH;AM;1961;NA
