unit;month;geo;year;value
NR;M01;BA;1979;NA
NR;M01;BA;1978;NA
NR;M01;BA;1977;NA
NR;M01;BA;1976;NA
NR;M01;BA;1975;NA
NR;M01;BA;1974;NA
NR;M01;BA;1973;NA
NR;M01;BA;1972;NA
NR;M01;BA;1971;NA
NR;M01;BA;1970;NA
NR;M01;BA;1969;NA
NR;M01;BA;1968;NA
NR;M01;BA;1967;NA
NR;M01;BA;1966;NA
NR;M01;BA;1965;NA
NR;M01;BA;1964;NA
NR;M01;BA;1963;NA
NR;M01;BA;1962;NA
NR;M01;BA;1961;NA
NR;M01;BA;1960;NA
NR;M01;BE;2019;10411
NR;M01;BE;2018;10364
NR;M01;BE;2017;11831
NR;M01;BE;2016;9916
NR;M01;BE;2015;11273
NR;M01;BE;2014;9578
NR;M01;BE;2013;10357
NR;M01;BE;2012;9944
NR;M01;BE;2011;9821
NR;M01;BE;2010;10129
NR;M01;BE;2009;11145
NR;M01;BE;2008;10235
NR;M01;BE;2007;9486
NR;M01;BE;2006;9706
NR;M01;BE;2005;9950
NR;M01;BE;2004;10331
NR;M01;BE;2003;9997
NR;M01;BE;2002;11100
NR;M01;BE;2001;10102
NR;M01;BE;2000;12008
NR;M01;BE;1999;NA
NR;M01;BE;1998;8949
NR;M01;BE;1997;12393
NR;M01;BE;1996;11381
NR;M01;BE;1995;9617
NR;M01;BE;1994;9974
NR;M01;BE;1993;9868
NR;M01;BE;1992;9901
NR;M01;BE;1991;9394
NR;M01;BE;1990;10308
NR;M01;BE;1989;9230
NR;M01;BE;1988;9191
NR;M01;BE;1987;10112
NR;M01;BE;1986;11275
NR;M01;BE;1985;11212
NR;M01;BE;1984;10006
NR;M01;BE;1983;10741
NR;M01;BE;1982;10564
NR;M01;BE;1981;10238
NR;M01;BE;1980;10472
NR;M01;BE;1979;10506
NR;M01;BE;1978;10670
NR;M01;BE;1977;10451
NR;M01;BE;1976;10481
NR;M01;BE;1975;11970
NR;M01;BE;1974;10482
NR;M01;BE;1973;13517
NR;M01;BE;1972;11767
NR;M01;BE;1971;11103
NR;M01;BE;1970;14123
NR;M01;BE;1969;11101
NR;M01;BE;1968;12030
NR;M01;BE;1967;10393
NR;M01;BE;1966;11338
NR;M01;BE;1965;10321
NR;M01;BE;1964;10601
NR;M01;BE;1963;11618
NR;M01;BE;1962;10971
NR;M01;BE;1961;10424
NR;M01;BE;1960;10761
NR;M01;BG;2019;12088
NR;M01;BG;2018;10249
NR;M01;BG;2017;12985
NR;M01;BG;2016;10391
NR;M01;BG;2015;10763
NR;M01;BG;2014;10407
NR;M01;BG;2013;9546
NR;M01;BG;2012;10536
NR;M01;BG;2011;10408
NR;M01;BG;2010;10147
NR;M01;BG;2009;10592
NR;M01;BG;2008;10883
NR;M01;BG;2007;11252
NR;M01;BG;2006;11082
NR;M01;BG;2005;10001
NR;M01;BG;2004;11563
NR;M01;BG;2003;10898
NR;M01;BG;2002;11535
NR;M01;BG;2001;10508
NR;M01;BG;2000;13966
NR;M01;BG;1999;10948
NR;M01;BG;1998;10890
NR;M01;BG;1997;11045
NR;M01;BG;1996;12699
NR;M01;BG;1995;10983
NR;M01;BG;1994;NA
NR;M01;BG;1993;NA
NR;M01;BG;1992;NA
NR;M01;BG;1991;NA
NR;M01;BG;1990;NA
NR;M01;BG;1989;NA
NR;M01;BG;1988;NA
NR;M01;BG;1987;NA
NR;M01;BG;1986;NA
NR;M01;BG;1985;NA
NR;M01;BG;1984;NA
NR;M01;BG;1983;NA
NR;M01;BG;1982;NA
NR;M01;BG;1981;NA
NR;M01;BG;1980;NA
NR;M01;BG;1979;NA
NR;M01;BG;1978;NA
NR;M01;BG;1977;NA
NR;M01;BG;1976;NA
NR;M01;BG;1975;NA
NR;M01;BG;1974;NA
NR;M01;BG;1973;NA
NR;M01;BG;1972;NA
NR;M01;BG;1971;NA
NR;M01;BG;1970;NA
NR;M01;BG;1969;NA
NR;M01;BG;1968;NA
NR;M01;BG;1967;NA
NR;M01;BG;1966;NA
NR;M01;BG;1965;NA
NR;M01;BG;1964;NA
NR;M01;BG;1963;NA
NR;M01;BG;1962;NA
NR;M01;BG;1961;NA
NR;M01;BG;1960;NA
NR;M01;BY;2019;NA
NR;M01;BY;2018;10659
NR;M01;BY;2017;11978
NR;M01;BY;2016;11322
NR;M01;BY;2015;11366
NR;M01;BY;2014;11006
NR;M01;BY;2013;11892
NR;M01;BY;2012;11281
NR;M01;BY;2011;12077
NR;M01;BY;2010;NA
NR;M01;BY;2009;12739
NR;M01;BY;2008;12430
NR;M01;BY;2007;12046
NR;M01;BY;2006;13663
NR;M01;BY;2005;11598
NR;M01;BY;2004;NA
NR;M01;BY;2003;NA
NR;M01;BY;2002;NA
NR;M01;BY;2001;NA
NR;M01;BY;2000;NA
NR;M01;BY;1999;NA
NR;M01;BY;1998;NA
NR;M01;BY;1997;NA
NR;M01;BY;1996;NA
NR;M01;BY;1995;NA
NR;M01;BY;1994;NA
NR;M01;BY;1993;NA
NR;M01;BY;1992;NA
NR;M01;BY;1991;NA
NR;M01;BY;1990;NA
NR;M01;BY;1989;NA
NR;M01;BY;1988;NA
NR;M01;BY;1987;NA
NR;M01;BY;1986;NA
NR;M01;BY;1985;NA
NR;M01;BY;1984;NA
NR;M01;BY;1983;NA
NR;M01;BY;1982;NA
NR;M01;BY;1981;NA
NR;M01;BY;1980;NA
NR;M01;BY;1979;NA
